Product ID;Name;Category;Description;Price;Image 1 URL (Hi-Res);Image 2 URL (Hi-Res);Country;Region;Grape Varieties (Szczepy);Winetype (Rodzaj);Dryness (Wytrawność);Alcohol %;Pairing (Polecane do);Product URL
3760094286557;Wino białe La Marina Cuvee Oceane IGP francuskie wytrawne 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Białe | Sauvignon Blanc | Rodzaj | Wino białe | świeże i orzeźwiające | Cena | 25,01 - 40,00 zł | Kraj | Francja | Wino czerwone Bio 3 Passo Rosso włoskie wytrawne 0,75 L | Wino białe Via Mare Trebbiano-Pinot Grigio Puglia IGT włoskie wytrawne 0,75 L | Sikulo Bianco Tre Colonne Terre Siciliane IGP 0,75 L | Wino białe La Marina Cuvee Oceane IGP francuskie wytrawne 0,75 L | Wino czerwone Via Mare Sangiovese-Primitivo Puglia IGT włoskie wytrawne 0,75 L | Wino białe Pavillon Des 3 Arches Chardonnay IGP francuskie wytrawne 0,75 L | Marlborough Sun Sauvignon Blanc 0,75 L | Wino czerwone Amarone della Valpolicella Centenero DOCG włoskie półwytrawne 0,75 L | Baccolo Bianco Puglia IGT 0,75 L | Sikulo Rosso Tre Colonne Terre Siciliane IGP 0,75 L | Promocje | Okazje miesiąca! | Wina do 30 zł | Wina na wesele;La Marina Cuvée Océane IGP 0,75 L – Świeże i eleganckie białe wino La Marina Cuvée Océane to lekkie i orzeźwiające francuskie białe wino wytrawne , pochodzące z południowych regionów Francji, oznaczone jako IGP (Indication Géographique Protégée) . Charakteryzuje się świeżością, cytrusowym aromatem i delikatną mineralnością , co czyni je doskonałym wyborem na letnie dni i lekkie posiłki. Smak i aromat: Aromaty: Cytrusy, zielone jabłko, białe kwiaty, nuty morskiej bryzy Smak: Świeży, mineralny, dobrze zbalansowany z subtelną kwasowością Struktura: Lekka, harmonijna, z orzeźwiającym finiszem Idealne do: Owoce morza i ryby: Ostrygi, krewetki, grillowany dorsz Lekkich sałatek: np. z rukolą i serem kozim Delikatnych serów: Mozzarella, ricotta, feta Letnich spotkań: Idealne na pikniki i aperitif La Marina Cuvée Océane IGP to wino inspirowane świeżością oceanu , które idealnie komponuje się z lekkimi potrawami i ciepłymi wieczorami. Dodaj do koszyka i ciesz się smakiem południowej Francji!;29,90 zł;https://dobrewina.pl/396-large_default/wino-biale-la-marina-cuvee-oceane-igp-francuskie-wytrawne-075-l.jpg;https://dobrewina.pl/1113-large_default/wino-biale-la-marina-cuvee-oceane-igp-francuskie-wytrawne-075-l.jpg;Francja;Gaskonia;Gros Manseng, Colombard, Sauvignon Blanc;Spokojne;Wytrawne;11%;Sery, Aperitif, Owoce morza;https://dobrewina.pl/wino-biale/361-wino-biale-la-marina-cuvee-oceane-igp-francuskie-wytrawne-075-l-3760094286557.html
3760094280081;Wino białe La Marina Gros Manseng IGP francuskie półsłodkie 0,75 L;Wina | Wytrawność | Półsłodkie | Rodzaj | Wino białe | wyraziste i skoncentrowane | Cena | 40,01 - 60,00 zł | Kraj | Francja | Wina na wesele;La Marina Gros Manseng IGP 0,75 L – Aromatyczne i aksamitne półsłodkie białe wino z południowej Francji La Marina Gros Manseng to delikatnie półsłodkie białe wino , które zachwyca harmonią między naturalną słodyczą a rześką kwasowością . Produkowane w południowo-zachodniej Francji z lokalnego szczepu Gros Manseng , charakteryzuje się bogatym aromatem i aksamitnym smakiem. To doskonały wybór dla miłośników subtelnej słodyczy i owocowej świeżości . Smak i aromat: Aromaty: Dojrzałe brzoskwinie, morele, mango, kwiaty akacji, miód Smak: Aksamitne, półsłodkie, dobrze zbalansowane przez świeżą kwasowość Finisz: Długi, owocowy, delikatnie miodowy Idealne do: Owoców morza i delikatnych ryb – kontrastuje z solą i podkreśla smak potraw Sałatek i lekkich dań warzywnych – świetnie komponuje się z warzywami i serami Deserów i owoców – pasuje do tarty cytrynowej, panna cotty i egzotycznych owoców La Marina Gros Manseng to idealne wino na spotkania towarzyskie i wieczory pełne przyjemności . Sprawdzi się zarówno jako aperitif, jak i do słodko-słonych połączeń kulinarnych . Dodaj do koszyka i rozkoszuj się francuską finezją!;39,90 zł;https://dobrewina.pl/507-large_default/wino-biale-la-marina-gros-manseng-igp-francuskie-polslodkie-075-l.jpg;N/A;Francja;Gaskonia;Gros Manseng;Spokojne;Półsłodkie;11%;Aperitif, Desery, Samo w sobie;https://dobrewina.pl/wino-biale/489-wino-biale-la-marina-gros-manseng-igp-francuskie-polslodkie-075-l-3760094280081.html
3760094286496;La Marina Rouge Cotes de Gascogne IGP 0,75 L;Wina | Wytrawność | Delikatnie wytrawne | Szczepy | Czerwone | Cabernet Sauvignon | Rodzaj | Wino czerwone | aromatyczne i dojrzałe | Cena | 25,01 - 40,00 zł | Kraj | Francja | Wina do 30 zł | Wina na wesele;Francuskie, z samego serca Gaskonii w południowo-zachodniej części kraju, czerwone, wytrawne, owocowe (truskawki, czarna porzeczka), z nutką przypraw, w smaku pełne, o jedwabistych taninach.;29,90 zł;https://dobrewina.pl/494-large_default/la-marina-rouge-cotes-de-gascogne-igp-075-l.jpg;N/A;Francja;Gaskonia;Merlot, Cabernet Sauvignon;Spokojne;Półwytrawne;N/A;Drób, Samo w sobie, Wieprzowina, Aperitif;https://dobrewina.pl/wino-czerwone/476-la-marina-rouge-cotes-de-gascogne-igp-075-l-3760094286496.html
3760094280012;La Marina Ugni Blanc-Colombard IGP 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Białe | Rodzaj | Wino białe | świeże i orzeźwiające | Cena | 25,01 - 40,00 zł | Kraj | Francja;Francuskie, z samego serca Gaskonii w południowo-zachodniej części kraju, białe, wytrawne, o delikatnej barwie, aromatyczne (typowe dla colombard: cytrusy, grejpfrut, zioła, typowe dla ugni blanc: białe kwiaty), dla podniebienia świeże i aromatyczne, dla podtrzymania walorów cytrusowych nie dojrzewa na osadzie.;33,00 zł;https://dobrewina.pl/572-large_default/la-marina-ugni-blanc-colombard-igp-075-l.jpg;N/A;Francja;Gaskonia;Ugni Blanc, Colombard;Spokojne;Wytrawne;11%;Ryby, Dania Śródziemnomorskie, Aperitif, Owoce morza;https://dobrewina.pl/wino-biale/554-la-marina-ugni-blanc-colombard-igp-075-l-3760094280012.html
3700619304717;Wino białe Pavillon Des 3 Arches Chardonnay IGP francuskie wytrawne 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Białe | Chardonnay | Rodzaj | Wino białe | wyraziste i skoncentrowane | Cena | 25,01 - 40,00 zł | Kraj | Francja | Top 10 win - ranking | Promocje | Wyprzedaż;Pavillon Des 3 Arches Chardonnay IGP 0,75 L – Aksamitne i aromatyczne Chardonnay z południa Francji Zobacz film Pavillon Des 3 Arches Chardonnay to pełne, harmonijne i eleganckie białe wino , które doskonale oddaje charakter słonecznego południa Francji. Produkowane w 100% ze szczepu Chardonnay , zachwyca owocowym bukietem, delikatną kremowością i subtelną nutą dębu . Idealne dla miłośników łagodnych, dobrze zbalansowanych win białych . Smak i aromat: Aromaty: Dojrzałe jabłka, gruszki, ananas, wanilia, lekka nuta dębu Smak: Pełne, aksamitne, dobrze zbalansowane z subtelną kwasowością Finisz: Długi, delikatnie kremowy, z owocowymi i waniliowymi akcentami Idealne do: Ryby i owoce morza – świetnie pasuje do grillowanego łososia, krewetek i małży Serów i lekkich przekąsek – doskonałe do serów pleśniowych i kozich Białego mięsa i makaronów – idealne do kurczaka w sosie śmietanowym i carbonary Pavillon Des 3 Arches Chardonnay to wszechstronne i eleganckie wino , które doskonale sprawdzi się zarówno na codzienne spotkania, jak i wyjątkowe okazje. Dodaj do koszyka i rozkoszuj się smakiem francuskiego Chardonnay!;34,90 zł;https://dobrewina.pl/110-large_default/pavillon-des-3-arches-chardonnay-igp-075-l.jpg;https://dobrewina.pl/2215-large_default/pavillon-des-3-arches-chardonnay-igp-075-l.jpg;Francja;Langwedocja;Chardonnay;Spokojne;Lekko wytrawne;13,5%;Ryby, Dania Śródziemnomorskie, Drób, Sushi;https://dobrewina.pl/wino-biale/82-pavillon-des-3-arches-chardonnay-igp-075-l-3700619304717.html
8437003095382;Pinoso Vergel Rosado Bio DOP Alicante 0,75 L;Wina | Wytrawność | Delikatnie wytrawne | Rodzaj | Wino różowe | Wino wegańskie | Cena | 25,01 - 40,00 zł | Kraj | Hiszpania | Promocje | Wyprzedaż;Hiszpańskie, jakościowe z regionu Alicante, ekologiczne, z ręcznie zbieranych winogron o świcie w wyselekcjonowanych winnicach, różowe, wytrawne, aromatycznie pachnące owocami (truskawki, maliny, melon), dla podniebienia przyjemne, świeże, wykwintne, o długim i trwałym zakończeniu, odpowiednie dla wegan.;29,90 zł;https://dobrewina.pl/695-large_default/pinoso-vergel-rosado-bio-dop-alicante-075-l.jpg;N/A;Hiszpania;Alicante;N/A;Spokojne;Lekko wytrawne;13%;Dania Śródziemnomorskie, Aperitif, Drób, Samo w sobie;https://dobrewina.pl/wino-rozowe/682-pinoso-vergel-rosado-bio-dop-alicante-075-l-8437003095382.html
8008900007473;Wino czerwone Bio 3 Passo Rosso włoskie wytrawne 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Czerwone | Primitivo | Rodzaj | Wino czerwone | aromatyczne i dojrzałe | Wino wegańskie | Wina ekologiczne i organiczne | Cena | 40,01 - 60,00 zł | Kraj | Włochy | Top 10 win - ranking | Wino czerwone Bio 3 Passo Rosso włoskie wytrawne 0,75 L | Wino białe Via Mare Trebbiano-Pinot Grigio Puglia IGT włoskie wytrawne 0,75 L | Sikulo Bianco Tre Colonne Terre Siciliane IGP 0,75 L | Wino białe La Marina Cuvee Oceane IGP francuskie wytrawne 0,75 L | Wino czerwone Via Mare Sangiovese-Primitivo Puglia IGT włoskie wytrawne 0,75 L | Wino białe Pavillon Des 3 Arches Chardonnay IGP francuskie wytrawne 0,75 L | Marlborough Sun Sauvignon Blanc 0,75 L | Wino czerwone Amarone della Valpolicella Centenero DOCG włoskie półwytrawne 0,75 L | Baccolo Bianco Puglia IGT 0,75 L | Sikulo Rosso Tre Colonne Terre Siciliane IGP 0,75 L | Promocje | Okazje miesiąca! | Wina na wesele;Bio 3 Passo Rosso 0,75 L – Ekologiczne, intensywne i pełne charakteru wino z południa Włoch Bio 3 Passo Rosso to wyjątkowe organiczne czerwone wino wytrawne , pochodzące z gorącego południa Włoch. Powstaje z trzech starannie dobranych szczepów – Primitivo, Negroamaro i Sangiovese , które nadają mu bogactwo smaku, aksamitną strukturę i intensywny aromat . Dzięki organicznej uprawie i starannej selekcji winogron, wino zachwyca naturalnym charakterem, głębią i doskonałym balansem . Smak i aromat: Aromaty: Dojrzałe jagody, śliwki, wiśnie, nuty wanilii, czekolady i przypraw korzennych Smak: Pełne, aksamitne, z dobrze zbalansowaną kwasowością i jedwabistymi taninami Finisz: Długi, intensywny, z subtelną nutą kakao i dębu Idealne do: Grillowanych i pieczonych mięs – steki, jagnięcina, dziczyzna Kuchni włoskiej – bogate sosy, lasagne, risotto Dojrzewających serów – pecorino, parmezan, gorgonzola Bio 3 Passo Rosso to doskonałe wino dla miłośników intensywnych i ekologicznych win, które łączą siłę i elegancję . Idealne na wyjątkowe okazje i wieczorne degustacje. Dodaj do koszyka i ciesz się autentycznym smakiem południowych Włoch!;38,00 zł;https://dobrewina.pl/1779-large_default/wino-czerwone-bio-3-passo-rosso-wloskie-wytrawne-075-l.jpg;https://dobrewina.pl/1033-large_default/wino-czerwone-bio-3-passo-rosso-wloskie-wytrawne-075-l.jpg;Włochy;Puglia;Primitivo, Sangiovese, Negroamaro;Spokojne;Lekko wytrawne;14%;Wołowina, Sery, Dania Śródziemnomorskie, Dania wegetariańskie;https://dobrewina.pl/wino-czerwone/493-wino-czerwone-bio-3-passo-rosso-wloskie-wytrawne-075-l-8008900007473.html
8008900009361;Wino czerwone Via Mare Sangiovese-Primitivo Puglia IGT włoskie wytrawne 0,75 L;Wina | Wytrawność | Delikatnie wytrawne | Szczepy | Czerwone | Primitivo | Rodzaj | Wino czerwone | owocowe i świeże | Cena | 25,01 - 40,00 zł | Kraj | Włochy | Wina do 30 zł | Wina na wesele;Via Mare Sangiovese-Primitivo Puglia IGT 0,75 L – Harmonijne połączenie dwóch włoskich klasyków Via Mare Sangiovese-Primitivo to pełne i aromatyczne czerwone wino wytrawne , pochodzące z słonecznej Apulii (Puglia IGT) – regionu słynącego z bogatych i intensywnych win. Wyjątkowe połączenie Sangiovese i Primitivo tworzy doskonale zbalansowany smak, łącząc owocową świeżość z aksamitną strukturą i delikatnymi taninami . Smak i aromat: Aromaty: Dojrzałe wiśnie, czarne jagody, śliwki, nuty przyprawowe Smak: Pełne, owocowe, z dobrą strukturą i łagodną kwasowością Finisz: Długi i przyjemnie korzenny, z nutami wanilii Idealne do: Kuchni włoskiej: Pizza, makarony z sosem pomidorowym, lasagne Grillowanych mięs i wędlin: Wołowina, wieprzowina, prosciutto Średnio dojrzewających serów: Pecorino, parmezan, provolone Via Mare Sangiovese-Primitivo Puglia IGT to doskonałe wino na co dzień , które łączy włoską tradycję z nowoczesnym stylem , pasując zarówno do posiłków, jak i chwil relaksu. Dodaj do koszyka i odkryj smak włoskiej pasji!;28,00 zł;https://dobrewina.pl/1216-large_default/via-mare-sangiovese-primitivo-puglia-igt-075-l.jpg;N/A;Włochy;Puglia;Primitivo, Sangiovese;Spokojne;Lekko wytrawne;12,5%;Wieprzowina, Dziczyzna, Wołowina, Baranina;https://dobrewina.pl/wino-czerwone/2056-via-mare-sangiovese-primitivo-puglia-igt-075-l-8008900009361.html
8008900008845;Wino białe Via Mare Trebbiano-Pinot Grigio Puglia IGT włoskie wytrawne 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Białe | Pinot Grigio | Rodzaj | Wino białe | świeże i orzeźwiające | Cena | 5,00 - 25,00 zł | Kraj | Włochy | Wina do 30 zł | Wina na wesele;Via Mare Trebbiano-Pinot Grigio Puglia IGT 0,75 L – Włoska świeżość i lekkość Via Mare Trebbiano-Pinot Grigio to delikatne i orzeźwiające białe wino wytrawne , pochodzące z regionu Apulia (Puglia IGT) na południu Włoch. Stworzone z połączenia Trebbiano i Pinot Grigio , łączy świeżość cytrusów z delikatną owocową słodyczą , co czyni je doskonałym wyborem na każdą okazję. Smak i aromat: Aromaty: Zielone jabłko, cytrusy, gruszka, białe kwiaty Smak: Świeży, lekki, z dobrze wyważoną kwasowością i subtelną mineralnością Struktura: Gładka, harmonijna, z orzeźwiającym finiszem Idealne do: Owoców morza i lekkich ryb – krewetki, grillowany łosoś, mule Sałatek i warzywnych przekąsek – rukola z mozzarellą, carpaccio z cukinii Świeżych serów – burrata, feta, kozi ser Letnich spotkań i aperitifów Via Mare Trebbiano-Pinot Grigio Puglia IGT to świetny wybór dla miłośników lekkich, uniwersalnych win , które doskonale komponują się z różnorodnymi potrawami i pasują na każdą okazję. Dodaj do koszyka i odkryj smak włoskiej elegancji!;28,00 zł;https://dobrewina.pl/1223-large_default/wino-biale-via-mare-trebbiano-pinot-grigio-puglia-igt-wloskie-wytrawne-075-l.jpg;N/A;Włochy;Puglia;Pinot Grigio, Trebbiano;Spokojne;Wytrawne;12%;Drób, Samo w sobie, Ryby, Aperitif;https://dobrewina.pl/wino-biale/2061-wino-biale-via-mare-trebbiano-pinot-grigio-puglia-igt-wloskie-wytrawne-075-l-8008900008845.html
8008900006827;Baccolo Rosso Veneto IGT 0,75 L;Wina | Wytrawność | Wytrawne | Szczepy | Czerwone | Rodzaj | Wino czerwone | aromatyczne i dojrzałe | Cena | 25,01 - 40,00 zł | Kraj | Włochy | Promocje | Okazje miesiąca! | Wina do 30 zł | Wina na wesele;Włoskie, z regionu Veneto (Wenecja Euganejska), czerwone, lekko wytrawne z winogron częściowo appassimento, o głębokiej barwie, intensywnym aromacie (dojrzałe wiśnie i czerwone owoce oraz przyprawy), w smaku przyjemne, krągłe, trwałe, owocowe.;28,00 zł;https://dobrewina.pl/1225-large_default/baccolo-rosso-veneto-igt-075-l.jpg;N/A;Włochy;Veneto;Corvina, Merlot;Spokojne;Lekko wytrawne;13,5%;Dziczyzna, Wołowina, Sery, Baranina, Wieprzowina;https://dobrewina.pl/wino-czerwone/2063-baccolo-rosso-veneto-igt-075-l-8008900006827.html
